BIAF01,BIAF02,BIAF03,BIAF04,BIAF05,BIAF06,BIAF07,BIAF08,BIAF09,BIAF10_01,BIAF10_02,BIAF10_03,BIAF10_04,NIVEL_ACTIVIDAD_FISICA
8,,8,,8,,360,8.0,,,,,,3.0
8,,8,,8,,120,5.0,,,,,,3.0
8,,1,90.0,5,65.0,180,,2.0,2.0,1.0,2.0,1.0,3.0
8,,8,,8,,360,8.0,,,,,,3.0
8,,8,,1,60.0,180,,2.0,2.0,2.0,2.0,1.0,3.0
3,180.0,8,,3,180.0,240,,2.0,2.0,2.0,1.0,1.0,2.0
8,,8,,7,420.0,300,,1.0,2.0,2.0,1.0,2.0,2.0
8,,8,,2,120.0,180,,6.0,2.0,2.0,2.0,1.0,3.0
3,180.0,5,60.0,8,,240,,2.0,1.0,2.0,1.0,1.0,2.0
3,180.0,6,160.0,8,,180,,2.0,1.0,1.0,1.0,1.0,2.0
8,,8,,8,,300,5.0,,,,,,3.0
8,,8,,4,120.0,240,,10.0,1.0,1.0,1.0,2.0,3.0
8,,8,,8,,360,5.0,,,,,,3.0
2,180.0,3,180.0,5,150.0,9999,,2.0,1.0,2.0,1.0,1.0,2.0
7,90.0,8,,8,,360,,2.0,2.0,2.0,2.0,2.0,2.0
8,,8,,2,240.0,120,,1.0,1.0,2.0,1.0,1.0,3.0
8,,8,,8,,120,5.0,,,,,,3.0
2,90.0,8,,3,180.0,300,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,360,8.0,,,,,,3.0
8,,8,,3,180.0,240,,10.0,2.0,2.0,2.0,1.0,3.0
2,30.0,8,,7,210.0,120,,1.0,2.0,2.0,1.0,1.0,2.0
2,120.0,2,120.0,1,30.0,120,,1.0,1.0,2.0,1.0,1.0,2.0
8,,8,,3,60.0,180,,2.0,2.0,1.0,1.0,2.0,3.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,8,,6,210.0,9999,,6.0,2.0,1.0,1.0,1.0,2.0
8,,8,,8,,120,1.0,,,,,,3.0
8,,8,,7,420.0,180,,9.0,2.0,2.0,1.0,2.0,2.0
8,,8,,8,,9999,9.0,,,,,,3.0
8,,8,,5,600.0,300,,2.0,1.0,2.0,1.0,2.0,2.0
8,,8,,7,3360.0,120,,2.0,2.0,1.0,1.0,2.0,1.0
8,,8,,8,,480,9.0,,,,,,3.0
8,,8,,3,60.0,120,,9.0,2.0,2.0,1.0,2.0,3.0
8,,8,,8,,120,8.0,,,,,,3.0
8,,8,,6,180.0,360,,9.0,1.0,2.0,1.0,2.0,2.0
8,,4,270.0,8,,360,,1.0,2.0,2.0,2.0,1.0,3.0
3,270.0,7,120.0,7,120.0,540,,2.0,2.0,2.0,1.0,1.0,1.0
8,,8,,8,,360,2.0,,,,,,3.0
8,,8,,6,1440.0,360,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,5,300.0,180,,9.0,2.0,2.0,1.0,2.0,2.0
8,,1,60.0,2,180.0,150,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,600,5.0,,,,,,3.0
8,,8,,8,,9999,8.0,,,,,,3.0
8,,8,,7,840.0,300,,10.0,1.0,2.0,1.0,1.0,2.0
8,,8,,3,180.0,120,,2.0,1.0,1.0,2.0,2.0,3.0
8,,8,,8,,240,2.0,,,,,,3.0
8,,8,,8,,120,5.0,,,,,,3.0
8,,8,,8,,60,1.0,,,,,,3.0
8,,5,720.0,5,720.0,60,,2.0,1.0,1.0,1.0,1.0,1.0
8,,8,,8,,240,8.0,,,,,,3.0
8,,8,,8,,180,10.0,,,,,,3.0
1,9999.0,2,60.0,8,,120,,8.0,2.0,2.0,2.0,1.0,
1,60.0,8,,8,,180,,2.0,2.0,2.0,1.0,1.0,3.0
8,,8,,3,180.0,120,,2.0,1.0,1.0,1.0,1.0,3.0
8,,3,270.0,5,150.0,270,,2.0,2.0,2.0,1.0,1.0,2.0
4,120.0,8,,8,,120,,1.0,1.0,1.0,2.0,2.0,2.0
8,,8,,8,,120,9.0,,,,,,3.0
8,,8,,8,,240,8.0,,,,,,3.0
2,180.0,8,,7,600.0,300,,2.0,2.0,2.0,1.0,1.0,1.0
8,,8,,3,360.0,480,,10.0,1.0,2.0,1.0,1.0,3.0
8,,7,1260.0,8,,420,,2.0,1.0,2.0,2.0,2.0,1.0
8,,6,600.0,6,120.0,720,,9.0,2.0,1.0,1.0,2.0,2.0
7,1440.0,7,1920.0,7,9999.0,10,,1.0,1.0,2.0,1.0,2.0,
8,,8,,8,,720,1.0,,,,,,3.0
8,,8,,3,60.0,360,,2.0,2.0,2.0,1.0,2.0,3.0
8,,3,120.0,8,,540,,9.0,1.0,2.0,2.0,2.0,3.0
8,,8,,7,2100.0,180,,2.0,2.0,1.0,1.0,1.0,1.0
8,,8,,8,,540,2.0,,,,,,3.0
3,180.0,8,,8,,360,,2.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,480,9.0,,,,,,3.0
1,300.0,8,,1,360.0,480,,2.0,2.0,1.0,2.0,1.0,3.0
8,,8,,7,70.0,240,,11.0,1.0,1.0,1.0,2.0,3.0
8,,8,,1,40.0,360,,2.0,2.0,2.0,1.0,1.0,3.0
2,120.0,8,,7,360.0,240,,2.0,1.0,2.0,1.0,1.0,2.0
8,,8,,5,150.0,180,,9.0,1.0,1.0,2.0,2.0,2.0
8,,8,,8,,150,8.0,,,,,,3.0
8,,8,,7,80.0,600,,2.0,2.0,2.0,1.0,2.0,3.0
8,,8,,3,120.0,9999,,6.0,2.0,2.0,1.0,2.0,3.0
8,,6,2700.0,6,360.0,60,,2.0,2.0,1.0,1.0,2.0,1.0
8,,8,,1,50.0,360,,6.0,2.0,2.0,1.0,2.0,3.0
8,,8,,7,480.0,240,,2.0,1.0,2.0,1.0,2.0,2.0
8,,8,,2,120.0,360,,2.0,1.0,2.0,2.0,2.0,3.0
8,,8,,8,,120,1.0,,,,,,3.0
8,,8,,3,180.0,30,,6.0,1.0,2.0,1.0,2.0,3.0
8,,8,,8,,180,2.0,,,,,,3.0
8,,8,,8,,120,8.0,,,,,,3.0
8,,8,,7,420.0,180,,10.0,2.0,2.0,2.0,1.0,2.0
8,,8,,7,80.0,60,,9.0,1.0,2.0,1.0,2.0,3.0
2,120.0,8,,7,420.0,120,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,720,1.0,,,,,,3.0
8,,8,,8,,300,5.0,,,,,,3.0
8,,8,,3,180.0,480,,2.0,2.0,2.0,1.0,1.0,3.0
8,,8,,8,,240,1.0,,,,,,3.0
8,,8,,7,420.0,420,,10.0,1.0,1.0,1.0,2.0,2.0
8,,8,,8,,330,8.0,,,,,,3.0
8,,8,,5,90.0,540,,9.0,1.0,2.0,2.0,1.0,3.0
8,,8,,8,,240,5.0,,,,,,3.0
8,,8,,2,120.0,240,,9.0,1.0,1.0,1.0,2.0,3.0
8,,2,120.0,8,,360,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,300,9.0,,,,,,3.0
5,600.0,8,,8,,240,,10.0,2.0,1.0,2.0,2.0,1.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,8,,2,180.0,120,,2.0,1.0,2.0,2.0,2.0,3.0
8,,5,600.0,6,540.0,270,,1.0,1.0,1.0,1.0,2.0,1.0
8,,8,,2,180.0,720,,11.0,1.0,2.0,1.0,1.0,3.0
3,360.0,8,,7,80.0,120,,2.0,2.0,2.0,1.0,1.0,1.0
8,,8,,7,420.0,480,,2.0,1.0,2.0,1.0,1.0,2.0
8,,8,,7,1080.0,180,,2.0,1.0,2.0,1.0,2.0,1.0
8,,8,,8,,600,5.0,,,,,,3.0
1,240.0,8,,4,40.0,360,,10.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,240,1.0,,,,,,3.0
8,,8,,8,,9999,9.0,,,,,,3.0
8,,1,120.0,7,90.0,20,,1.0,1.0,1.0,1.0,2.0,2.0
8,,8,,8,,240,9.0,,,,,,3.0
8,,8,,8,,360,8.0,,,,,,3.0
8,,8,,1,60.0,420,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,2,120.0,180,,2.0,1.0,1.0,1.0,1.0,3.0
